XCoord,YCoord,FID,OBJECTID,ED_ID,PD_NUMBER,PD_LABEL,ED_NAME_EN,ED_NAME_FR,SHAPE_LENG,SHAPE_AREA
1343045.62299588,5564575.87486572,183,38043,4.000000,9.000000,009,Barrie—Innisfil,Barrie—Innisfil,13311.453144,5737522.104550
1356044.14556898,5562509.41020268,184,38044,4.000000,19.000000,019,Barrie—Innisfil,Barrie—Innisfil,12953.853862,5909904.666790
1347708.37415154,5562614.48359695,185,38045,4.000000,16.000000,016,Barrie—Innisfil,Barrie—Innisfil,34601.312719,43076167.804600
1356328.02991600,5565009.10016919,186,38046,4.000000,18.000000,018,Barrie—Innisfil,Barrie—Innisfil,16246.820430,11689855.892000
1355670.96816184,5560318.72228214,187,38047,4.000000,20.000000,020,Barrie—Innisfil,Barrie—Innisfil,17039.578571,14493026.442800
1347909.36797166,5567951.50133645,188,38048,4.000000,5.000000,005,Barrie—Innisfil,Barrie—Innisfil,13072.038283,3426217.898740
1340587.70966841,5566954.25055251,189,38049,4.000000,1.000000,001,Barrie—Innisfil,Barrie—Innisfil,10793.749288,4532978.582180
1348857.96826323,5567943.89143078,190,38050,4.000000,702.000000,702,Barrie—Innisfil,Barrie—Innisfil,732.995186,34914.850629
1345841.14230699,5567743.40064007,191,38051,4.000000,704.000000,704,Barrie—Innisfil,Barrie—Innisfil,330.313398,6027.729616
1354958.16555739,5562733.78759353,192,38052,4.000000,703.000000,703,Barrie—Innisfil,Barrie—Innisfil,424.948050,5280.678270
1342277.18203363,5566688.80050616,193,38053,4.000000,2.000000,002,Barrie—Innisfil,Barrie—Innisfil,10121.449752,2952721.340860
1343681.07226959,5568177.13854915,194,38054,4.000000,701.000000,701,Barrie—Innisfil,Barrie—Innisfil,483.532182,12416.095086
1345937.04529930,5567133.24096767,195,38055,4.000000,11.000000,011,Barrie—Innisfil,Barrie—Innisfil,6965.473172,2350188.091050
1353656.24372689,5568932.96423988,196,38056,4.000000,7.000000,007,Barrie—Innisfil,Barrie—Innisfil,37628.077954,53439210.953200
1340409.65775753,5563506.46641768,197,38057,4.000000,13.000000,013,Barrie—Innisfil,Barrie—Innisfil,9372.487101,1667036.967130
1346824.26093514,5553126.65763198,198,38058,4.000000,15.000000,015,Barrie—Innisfil,Barrie—Innisfil,63853.309620,121631369.643000
1341701.52685675,5563436.68933689,199,38059,4.000000,14.000000,014,Barrie—Innisfil,Barrie—Innisfil,8759.082806,2026555.507900
